% Model:              VALIDATE_ZY_BSQ111.mph
% Version:            COMSOL 6.2.0.415
% Date:               Jul 15 2026, 11:24
% Dimension:          1
% Nodes:              15
% Expressions:        1
% Description:        Global
% freq (Hz)               Value
1                         1.464945267158217E-6
3.1622776601683795        4.627500236555898E-6
10                        1.4510641677769144E-5
31.622776601683793        4.434350336810154E-5
100                       1.2971111174954128E-4
316.22776601683796        3.645911695683711E-4
1000                      0.001044211942555131
3162.2776601683795        0.003093772510851587
10000                     0.00935047257751341
31622.776601683792        0.027987190804082754
100000                    0.06949728636005648
316227.7660168379         0.07623196119294773
1000000                   0.03570093001615388
3162277.6601683795        0.01726376292213636
10000000                  0.01276130043967526
