% Model:              VALIDATE_ZY_4ball.mph
% Version:            COMSOL 6.2.0.415
% Date:               May 21 2026, 08:14
% Dimension:          1
% Nodes:              9
% Expressions:        1
% Description:        Global
% freq (Hz)               Value
1000                      3.33418674893624E-4
3162.2776601683795        9.768311682838082E-4
10000                     0.0028819950067828686
31622.776601683792        0.008355960131853208
100000                    0.019071434336688335
316227.7660168379         0.01769479820186372
1000000                   0.007463970962809326
3162277.6601683795        0.0033843248067191435
10000000                  0.002660448100829417
