% Model:              VALIDATE_ZY.mph
% Version:            COMSOL 6.2.0.415
% Date:               May 20 2026, 16:16
% Dimension:          1
% Nodes:              9
% Expressions:        1
% Description:        Global
% freq (Hz)               Value
1000                      70.43082806862579
3162.2776601683795        70.4331392590959
10000                     70.44373634255295
31622.776601683792        70.51685601044575
100000                    71.09248306917051
316227.7660168379         73.54658646188953
1000000                   75.76547112215397
3162277.6601683795        76.88481058068098
10000000                  77.5704735860294
